Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	17589.9	11438.0	17589.8	11438.0	1806.16528	29346.76953	350.22284	0.01087	1.35691	586.72137	28611.41016	516	2	-1	1	-113	-112.918	6329.12974	3.31758	17589.9	11438.0	17589.8	11438.0
Alexa405/Alexa647	17595.3	11440.9	17595.3	11440.9	1073.79712	31453.72852	387.37537	1.15750	1.32783	581.09393	30523.79883	422	3	-1	1	-155	-155	6783.53127	4.13750	17595.3	11440.9	17595.3	11440.9
Alexa405/Alexa647	17596.8	11453.8	17596.7	11453.7	1360.55334	31750.22461	369.40878	0.02343	1.57459	558.55762	31431.96875	580	2	-1	1	-184	-183.541	6847.47569	3.34026	17596.8	11453.8	17596.7	11453.7
Alexa405/Alexa647	17588.5	11463.2	17586.5	11461.5	1051.62195	9480.18457	383.29984	0.28785	1.59869	436.86227	9145.82031	2927	1	-1	1	-209	-192.325	2044.56297	6.98715	17588.5	11463.2	17586.5	11461.5
Alexa405/Alexa647	17591.0	11456.7	17591.0	11456.7	1280.08484	9486.99121	347.54010	0.39786	1.50360	563.11200	9883.07910	488	1	-1	1	-140	-140	2046.03093	6.46035	17591.0	11456.7	17591.0	11456.7
Alexa405/Alexa647	17592.8	11471.2	17592.8	11471.2	1550.73767	10034.09180	324.73560	1.10377	1.51301	600.43585	9895.10352	439	1	-1	1	-115	-115	2164.02248	5.65790	17592.8	11471.2	17592.8	11471.2
Alexa405/Alexa647	17596.9	11458.4	17596.9	11458.3	1624.55261	21220.23047	345.46414	0.07816	1.32752	576.89050	20765.75586	519	2	-1	1	-100	-99.8999	4576.50344	4.16597	17596.9	11458.4	17596.9	11458.3
Alexa405/Alexa647	17598.4	11462.1	17598.2	11461.9	1511.56372	20955.37305	355.65082	0.28805	1.55548	539.51355	21444.05078	610	2	-1	1	-161	-160.364	4519.38244	4.31733	17598.4	11462.1	17598.2	11461.9
Alexa405/Alexa647	17599.2	11461.9	17599.0	11461.7	2142.19971	17895.00977	368.97421	0.10442	1.53787	560.15472	17956.58594	600	1	-1	1	-176	-175.423	3859.36307	4.31089	17599.2	11461.9	17599.0	11461.7
Alexa405/Alexa647	17599.8	11466.5	17597.9	11464.7	1299.04346	8640.43164	329.24252	0.78414	1.41952	449.07480	8236.12988	3379	1	-1	1	-102	-86.2261	1863.45597	5.98092	17599.8	11466.5	17597.9	11464.7
Alexa405/Alexa647	17598.3	11492.3	17598.3	11492.3	1393.87329	10045.21680	342.71100	0.90728	1.67931	556.55261	10100.65820	502	1	-1	1	-165	-165	2166.42177	6.01307	17598.3	11492.3	17598.3	11492.3
Alexa405/Alexa647	12343.6	11662.3	12343.6	11662.3	1276.51831	7336.78564	306.05496	1.22951	1.20474	658.89423	7107.64404	96	1	-1	1	-34	-34	1582.30255	6.83111	12343.6	11662.3	12343.6	11662.3
Alexa405/Alexa647	16021.8	11850.4	16021.2	11849.9	1599.15393	35121.78906	415.06613	0.49385	1.73023	504.24860	33618.59766	792	2	-1	1	-284	-282.293	7574.61088	3.58644	16021.8	11850.4	16021.2	11849.9
Alexa405/Alexa647	5088.0	12338.6	5088.0	12338.6	2216.61353	58872.10547	380.61517	0.44743	1.51774	522.54529	56968.74609	262	3	-1	1	-189	-189	12696.77037	2.39115	5088.0	12338.6	5088.0	12338.6
Alexa405/Alexa647	16025.3	11872.3	16024.8	11871.8	1290.10132	155237.50000	411.90030	0.85926	1.60138	531.72870	149918.10938	799	9	-1	1	-257	-255.252	33479.60591	1.71896	16025.3	11872.3	16024.8	11871.8
Alexa405/Alexa647	16029.2	11868.5	16028.7	11868.0	1782.55017	16856.82422	392.57898	0.36080	1.64321	531.71356	16428.02734	795	1	-1	1	-232	-230.275	3635.46071	4.87995	16029.2	11868.5	16028.7	11868.0
