Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	11992.5	2155.0	11985.6	2155.7	1346.47278	8231.01660	315.63705	0.70115	0.72385	295.86365	7732.40918	8693	1	-1	1	129	155.192	1775.15866	5.24865	11992.5	2155.0	11985.6	2155.7
Alexa405/Alexa647	12809.1	1991.3	12802.2	1992.0	1018.78918	7599.52441	348.66721	0.74395	0.92450	280.86703	7233.32422	4707	1	-1	1	41	69.2034	1638.96663	6.34566	12809.1	1991.3	12802.2	1992.0
Alexa405/Alexa647	16485.3	1663.1	16478.4	1663.8	1023.29480	17316.35156	366.66025	1.31168	1.00463	494.71652	17315.17578	2927	2	-1	1	-11	13.0728	3734.56559	5.14943	16485.3	1663.1	16478.4	1663.8
Alexa405/Alexa647	13671.6	1836.5	13664.7	1837.2	1102.09875	6898.47607	319.39371	0.68971	0.68610	293.92981	6467.75439	7302	1	-1	1	151	177.192	1487.77364	6.06949	13671.6	1836.5	13664.7	1837.2
Alexa405/Alexa647	20541.9	2225.7	20541.9	2225.7	1472.38818	33960.45703	345.98840	0.10405	0.68584	578.68408	33241.96094	307	3	-1	1	192	193.311	7324.14989	3.24135	20541.9	2225.7	20541.9	2225.7
Alexa405/Alexa647	21494.5	2339.8	21487.6	2340.4	1218.05188	7109.34570	308.41959	0.88820	0.76421	388.93896	6485.52539	3113	1	-1	1	106	130.987	1533.25126	6.05686	21494.5	2339.8	21487.6	2340.4
Alexa405/Alexa647	18258.8	2466.4	18258.8	2466.4	1356.97473	13801.83887	407.13895	1.02466	0.66483	607.18207	13139.62695	234	1	-1	1	325	325	2976.60118	6.28683	18258.8	2466.4	18258.8	2466.4
Alexa405/Alexa647	21493.6	3444.0	21492.5	3444.2	1598.51929	262464.81250	351.61154	0.51848	1.14178	579.97144	247988.90625	667	17	-1	1	-54	-45.1949	56604.99872	1.09786	21493.6	3444.0	21492.5	3444.2
Alexa405/Alexa647	21481.7	3449.2	21481.7	3449.2	2614.66187	30871.21875	320.63376	0.59195	1.14313	931.68176	29264.91211	312	2	-1	1	-29	-27.5845	6657.90313	3.17054	21481.7	3449.2	21481.7	3449.2
Alexa405/Alexa647	21477.3	3450.3	21470.4	3451.0	1273.44727	43617.12500	325.31201	0.14762	0.90592	713.38086	42943.91406	1647	4	-1	1	51	71.3369	9406.77450	2.79507	21477.3	3450.3	21470.4	3451.0
