"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
1.0,1766.1313653150544,13279.761671333888,128.10427900851602,116.2145636211023,11.083418478577132,2.2151262253591,488.92679254471824,19.92071667105509,1.0
1.0,2670.4091354253746,8213.076966649318,194.2370105297316,119.35030975789513,8.52892227742386,1.8554182486560193,415.13145638799034,31.429661857553224,1.0
1.0,9716.264473072464,33864.95547159934,124.00477171529167,63.778184913170215,10.620264638904418,2.1264954609772952,488.7562296056607,27.81596396091671,1.0
1.0,10828.015541868757,5416.115039894728,160.6510019594177,113.00440046371769,10.991183107517081,2.1656932707788537,412.9485538136736,26.75504560010214,1.0
1.0,16966.76751696939,33917.93931498562,171.69798783457207,152.5160537153385,11.530199702023893,1.8587464559717204,265.6488071469931,22.96300683055294,1.0
1.0,21003.28094186143,1257.6333708738637,192.5866757480391,154.67711820581312,10.737125079093342,2.304664013804912,462.67625273302025,28.163666048227835,1.0
1.0,40340.77332177566,26996.98754628897,144.36093232199354,78.99635758020221,9.168720181378319,1.8853708895573864,437.26508125616203,28.24002599769132,1.0
1.0,7325.0136774018065,37065.68520381592,158.2596362278316,645.533566910308,8.932632819023622,6.955908873605584,NaN,12.3454557306316,4.0
1.0,10381.705491357854,3309.353404001814,160.86154885347105,1053.2229350375396,10.848822011071146,21.08082234740733,NaN,17.734690358181453,8.0
1.0,10908.443203929528,13143.80327467462,160.30817520017794,618.4896226508365,11.449053356492158,13.666855548503467,NaN,20.078325107626213,6.0
1.0,13768.873870322146,20851.684350588253,136.73037091838165,501.3627188339447,12.710457525667474,10.829059114851953,NaN,15.456799485618644,5.0
1.0,16275.205636386856,21656.955164691808,153.4562441421939,307.0762119266558,12.027236026989234,6.362268587280426,NaN,19.850129405366122,3.0
1.0,22593.788037932944,39310.63648776997,140.83952431494566,603.9836430948083,10.062760685308293,9.526096465047646,NaN,12.857104432240066,5.0
1.0,25367.884143917116,18488.65386959154,190.65838384348996,217.6194199630431,11.303138555181095,3.6724122411567652,NaN,26.707812897537686,2.0
1.0,28579.59191023348,25382.31186474008,143.6867558170868,299.4452923158843,12.206168295205307,4.674653746078802,NaN,15.716303006979663,2.0
1.0,30747.12317210393,30867.2125175913,168.12646188304964,202.4684542481107,9.598341870945983,3.9389753719465643,NaN,24.220771697494545,2.0
1.0,32033.222750903733,8258.739273116333,148.0327696353594,153.61671971290912,9.891733277859844,4.107477864982281,NaN,25.22397918124083,2.0
1.0,34824.62561831917,28413.195919876824,149.22400095989212,896.5653034160734,9.874180024618475,18.542014272095685,NaN,16.132714091297913,9.0
1.0,35067.69352630131,19982.872008807375,147.45708492240385,2078.692894445737,11.467763988859272,24.378962216319287,NaN,9.262266365286106,9.0
1.0,39473.233739511634,3856.665822286107,176.73097745399437,1198.625578007907,8.734385370919716,19.92497899195345,NaN,17.847980268777935,9.0
1.0,40466.89130156354,19619.213630406386,136.2619021015743,287.503854148241,8.695564930606102,5.734569653491334,NaN,16.469185689538417,3.0
2.0,12872.782167671605,33940.31493883969,137.52864480798058,111.45593168000332,10.709450272866704,1.9664128812781625,374.0503528280376,21.630201910610097,1.0
2.0,24609.121891150535,35484.38208323517,108.41097421072816,56.66811865786459,10.61380770483564,2.2711939447126253,527.3857580626636,25.889730035307103,1.0
2.0,26436.01795542887,4709.146693766099,156.24649814495544,86.98757344992919,11.383490562964575,2.6017467789040727,628.4565589848314,33.305406242484764,1.0
2.0,36744.07631897284,27822.159807137294,150.0508696905054,91.68742484491132,9.701840347513613,2.043256934312459,470.6585599054099,27.596369293417666,1.0
2.0,38053.80226815548,25665.72612992632,124.92393267579874,90.8879133288244,9.88966721640717,2.228846648258878,494.03760914851466,22.598108857073704,1.0
2.0,5314.19286075862,36710.461635232256,137.46806729573888,541.372864299722,9.096416219547107,10.804926015310173,NaN,14.608530695466575,6.0
2.0,7754.960086841791,16294.448911002097,133.0222963924497,163.85106395147656,10.379021407575399,3.8147430912114872,NaN,19.89042334385612,2.0
2.0,10757.893888328088,5867.032639192405,121.46796513964657,165.2948584453292,10.869306973413291,3.7571360237520146,NaN,17.373767021545852,2.0
