x [nm],y [nm],BG,I,Frame,Length,z [nm],Photons,Lateral Localization Accuracy [nm]
4077.3,2292.1,310.27124,10344.50684,2530,1,-160.926,2294.40792,5.71827
4077.4,2269.7,299.3187,9525.8457,2524,1,-177.042,2150.96578,6.29638
4085,2279.8,320.5965,10045.12207,2540,1,-154.732,2228.95446,5.94189
4089.9,2293.2,302.31079,21300.24219,2534,2,-182.848,4679.17736,4.04914
4080.8,2294.4,306.45468,18730.17188,2537,2,-121.79,4031.27705,4.25335
4077.8,2297.4,317.26425,18337.50195,2527,2,-132.984,3965.60308,4.1795
2828.3,2717.5,268.96674,9128.83105,8807,1,144.952,2041.35155,4.87657
2823,2719.8,266.00061,112535.2891,8816,9,89.3383,25495.10136,1.47767
2823.9,2720.2,268.70276,18441.86328,8811,2,126.124,4216.13695,3.56109
4086.5,2309.3,310.39011,9355.34668,2520,1,-84.1199,2028.34245,5.60016
4210.4,3091.1,316.07333,6787.1665,3199,1,96.8282,1491.64459,5.88439
4208,3112.1,317.0206,8402.48535,3227,1,72.8,1873.30947,5.76594
4217.6,3112.6,322.21027,7937.74316,3236,1,100.791,1793.54722,5.70454
4217,3119,318.3714,41984.14844,3230,5,140.797,9553.81137,2.49501
4226.8,3117.5,315.85577,15498.21289,3202,2,102.825,3449.24615,3.77974
4233.8,3122.5,319.65436,8010.64111,3215,1,81.8121,1769.57196,5.31428
4234.5,3131.1,310.98752,15260.62402,3239,2,88.7879,3456.95688,4.10574
4236.8,3123.3,308.60858,8268.78613,3206,1,183.821,1913.12678,5.76448
23068.7,1616.2,466.61243,7870.56494,7644,1,359.744,1731.4506,6.85247
23067,1628,458.43103,321891.1563,8217,15,523.656,72148.29464,1.09298
23073.5,1609.8,443.71014,8372.14551,7647,1,390.803,1799.27166,7.26595
23076.1,1605.7,486.55466,8574.58691,5128,1,326.927,1864.81758,7.29445
23075.3,1611,437.05344,8220.12891,7654,1,414.941,1800.40181,7.26366
23083.9,1618.6,413.03104,8604.91406,7636,1,435.587,1899.94687,6.89633
23077.1,1618.9,456.9357,244312.7344,7077,14,518.811,54265.68236,1.37345
23086,1622.9,421.52936,76553.35938,8740,5,522.08,17448.40216,2.37901
23088.4,1618.3,469.5932,118807.9063,8190,8,475.499,26603.40902,1.81189
23092,1600.3,496.62589,36989.13672,3931,2,443.927,8286.18224,3.5433
23028.3,1642.4,418.21103,14041.61426,7937,1,519.503,3186.31607,5.80676
23049.3,1638.7,432.62708,10543.05176,7940,1,464.562,2306.12007,6.84679
23097.2,1605.5,491.24332,36031.44922,4269,3,394.487,8087.69194,3.58569
23105,1622.8,453.68683,8901.96191,8207,1,408.227,1986.1766,6.89073
23111.3,1626.9,464.93582,9944.24609,7204,1,481.93,2335.83452,7.39489
23114.6,1634.2,492.30148,8645.44824,7202,1,336.865,1823.33559,7.12476
6198,2790.5,327.87451,10928.3916,3315,1,376.808,2452.30165,5.65649
6184.9,2802.1,347.84924,12520.27637,3341,1,345.615,2861.36592,5.13539
6198.5,2820.3,340.95065,11712.72656,3355,1,385.049,2626.09008,5.68638
6218.2,2795.1,330.42163,9794.24219,3317,1,382.87,2251.39078,6.57355
6258.8,2812.7,326.45709,12801.00195,3332,1,384.335,2867.39175,5.67813
6298.3,2826.9,367.76804,17729.11914,3336,1,387.459,3980.31982,4.40953
7138.1,3040.5,290.65271,14823.62793,7370,1,-220.641,3317.07682,5.44535
7128.5,3045.6,283.64575,12138.94141,7361,1,-209.818,2744.81455,6.20709
6189.2,3446.1,681.71509,64652.46094,89,3,-352,14519.62745,3.05126
8021.6,3494.2,302.10928,8500.93945,5480,1,-11.472,1801.73477,6.25503
8024.3,3487.8,346.66599,17079.08594,3276,2,-57.2493,3767.5837,4.28261
8027.6,3511.4,374.73972,24065.52344,3295,3,-7.26843,5488.26349,3.723
8013,3517.1,362.50455,10335.11426,3225,1,-36.198,2161.04379,5.2139
