Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	10471.1	3029.3	10514.4	3010.9	1159.24390	17586.36133	343.44583	0.34205	1.42152	256.21951	17575.63477	4039	2	-1	1	-119	-109.597	3792.79779	3.85844	10471.1	3029.3	10514.4	3010.9
Alexa405/Alexa647	11502.4	2880.0	11545.7	2861.6	1731.99683	15836.47852	386.02533	1.13547	1.32276	288.61212	15537.57520	4199	1	-1	1	-151	-141.597	3415.40581	4.33510	11502.4	2880.0	11545.7	2861.6
Alexa405/Alexa647	10973.6	3368.9	11002.1	3353.7	1048.32678	9466.41895	383.62296	0.98515	1.35259	293.23416	9499.80371	1932	1	-1	1	-156	-150.41	2041.59417	6.26122	10973.6	3368.9	11002.1	3353.7
Alexa405/Alexa647	13539.0	5166.2	13582.3	5147.8	1161.04077	7795.71533	330.79907	0.29816	1.18837	288.66470	7563.38232	7742	1	-1	1	-50	-40.5971	1681.27854	5.80530	13539.0	5166.2	13582.3	5147.8
Alexa405/Alexa647	14249.4	5432.8	14291.9	5414.5	1069.65405	42543.00781	444.48697	1.34461	0.65973	327.20450	41131.76563	2471	3	-1	1	390	399.196	9175.12287	3.41042	14249.4	5432.8	14291.9	5414.5
Alexa405/Alexa647	21261.2	5785.8	21304.5	5767.4	1308.94702	51931.08594	402.21906	0.74822	1.57863	365.31223	49936.29297	9506	4	-1	1	-236	-226.597	11199.82151	2.79843	21261.2	5785.8	21304.5	5767.4
Alexa405/Alexa647	10839.2	5986.0	10882.5	5967.6	1188.01404	42590.07031	439.18314	1.25200	0.65517	284.13974	40690.31250	3975	3	-1	1	382	391.403	9185.27269	3.23259	10839.2	5986.0	10882.5	5967.6
Alexa405/Alexa647	21264.0	5804.0	21307.4	5785.6	1059.42749	24761.51563	420.78409	1.10796	1.57366	348.58734	23586.88672	9008	2	-1	1	-268	-258.597	5340.24179	4.33787	21264.0	5804.0	21307.4	5785.6
Alexa405/Alexa647	21264.1	5784.1	21307.5	5765.7	1255.16614	29378.54102	436.25833	1.12017	1.63534	355.00314	28164.21680	9502	2	-1	1	-307	-297.597	6335.98181	4.03891	21264.1	5784.1	21307.5	5765.7
Alexa405/Alexa647	20538.5	6064.4	20581.8	6046.0	1889.96155	17856.92773	392.40717	0.46309	0.62384	402.47369	17520.41992	8767	1	-1	1	311	320.403	3851.15003	4.36503	20538.5	6064.4	20581.8	6046.0
Alexa405/Alexa647	20542.8	6059.3	20586.1	6040.9	1554.78992	17491.83203	428.19525	0.13317	0.53839	363.09116	17323.89844	8778	1	-1	1	397	406.403	3772.41094	4.90427	20542.8	6059.3	20586.1	6040.9
Alexa405/Alexa647	21265.0	5782.4	21308.3	5764.0	1236.05444	45063.27734	420.09164	1.01307	1.59779	358.75107	42947.14063	9511	3	-1	1	-271	-261.597	9718.66183	3.07395	21265.0	5782.4	21308.3	5764.0
Alexa405/Alexa647	21525.0	4216.8	21568.3	4198.4	1245.32300	7812.49512	319.75250	0.90407	1.31127	356.34482	7636.37939	8255	1	-1	1	-70	-60.5971	1684.89738	5.81185	21525.0	4216.8	21568.3	4198.4
Alexa405/Alexa647	21532.5	2449.8	21575.8	2431.4	1072.43958	7004.33643	326.25497	1.31790	1.65312	352.34094	7348.06641	9649	1	-1	1	-140	-130.597	1510.60422	6.49216	21532.5	2449.8	21575.8	2431.4
Alexa405/Alexa647	21545.2	4196.3	21588.5	4177.9	1015.27100	28277.14844	382.55319	0.76812	1.41960	345.36313	27147.08789	8257	3	-1	1	-171	-161.597	6098.44777	3.77287	21545.2	4196.3	21588.5	4177.9
Alexa405/Alexa647	21539.5	4215.8	21582.8	4197.4	1013.89496	19696.31445	388.90634	0.96363	1.40798	349.33218	18957.26367	8272	2	-1	1	-178	-168.597	4247.84505	4.59453	21539.5	4215.8	21582.8	4197.4
Alexa405/Alexa647	21520.9	4216.8	21564.2	4198.4	1171.68311	7467.47803	322.28638	1.13296	1.48656	388.39996	7073.00146	8268	1	-1	1	-107	-97.5971	1610.48858	6.22896	21520.9	4216.8	21564.2	4198.4
Alexa405/Alexa647	21284.7	5794.7	21328.1	5776.3	1482.16370	76804.74219	329.44360	0.04885	0.99029	365.09384	74421.24219	6010	8	-1	1	16	25.4029	16564.24833	1.85042	21284.7	5794.7	21328.1	5776.3
