Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
Alexa405/Alexa647	1807.2	5728.7	1807.2	5728.7	1017.09406	13216.79297	460.19565	0.47228	1.86950	517.27625	13051.57031	21	1	-1	1	-380	-380	2850.42609	7.55381	1807.2	5728.7	1807.2	5728.7
Alexa405/Alexa647	1813.7	5806.9	1813.7	5806.9	1005.33771	9680.55762	396.14508	0.03839	1.77893	500.74808	9573.81738	63	1	-1	1	-259	-259	2087.77682	7.56335	1813.7	5806.9	1813.7	5806.9
Alexa405/Alexa647	1817.1	5805.6	1817.1	5805.6	1519.29199	12505.41992	366.25925	0.81189	1.88859	550.06744	12394.63867	17	1	-1	1	-228	-228	2697.00640	5.58663	1817.1	5805.6	1817.1	5805.6
Alexa405/Alexa647	1817.2	5761.0	1817.2	5761.0	1156.99988	57557.09375	412.18726	0.08078	1.90250	514.02808	56547.66016	54	4	-1	1	-302	-302	12413.16574	2.94687	1817.2	5761.0	1817.2	5761.0
Alexa405/Alexa647	1819.4	5811.7	1819.4	5811.7	1069.00989	10207.86914	394.49066	0.33944	1.90423	535.49481	10109.68262	14	1	-1	1	-274	-274	2201.50051	7.34884	1819.4	5811.7	1819.4	5811.7
Alexa405/Alexa647	1792.4	8911.5	1792.4	8911.5	1176.75940	45279.64844	428.77325	0.17918	1.88144	284.09573	43474.76953	9226	3	-1	1	-328	-328	9765.32594	2.98619	1792.4	8911.5	1792.4	8911.5
Alexa405/Alexa647	1797.6	8912.9	1797.6	8912.9	1186.39661	11769.08008	402.08359	0.09741	1.85991	301.10043	11206.48438	9239	1	-1	1	-280	-280	2538.20219	5.73661	1797.6	8912.9	1797.6	8912.9
Alexa405/Alexa647	1817.4	5868.5	1817.4	5868.5	1107.52380	10124.41602	385.98328	0.14305	1.77727	496.36682	10253.16113	142	1	-1	1	-243	-243	2183.50243	6.96955	1817.4	5868.5	1817.4	5868.5
Alexa405/Alexa647	1820.5	5819.0	1820.5	5819.0	1170.73413	21387.70898	398.38928	0.03697	1.79276	489.64252	21006.02344	128	2	-1	1	-265	-265	4612.62303	4.93838	1820.5	5819.0	1820.5	5819.0
Alexa405/Alexa647	1821.6	5766.3	1821.6	5766.3	1580.43262	26899.23828	403.74347	0.05717	1.85464	508.54303	26944.02734	73	2	-1	1	-282	-282	5801.27802	4.24326	1821.6	5766.3	1821.6	5766.3
Alexa405/Alexa647	1823.2	5784.4	1823.2	5784.4	1031.66199	14264.67773	474.70337	1.00929	1.75097	472.90799	14052.14063	115	1	-1	1	-394	-394	3076.42025	7.24835	1823.2	5784.4	1823.2	5784.4
Alexa405/Alexa647	1831.4	5793.8	1831.4	5793.8	1635.74512	43365.92188	390.45074	0.80667	2.05781	520.42603	43362.39844	76	3	-1	1	-285	-285	9352.59827	3.12821	1831.4	5793.8	1831.4	5793.8
Alexa405/Alexa647	1828.9	5796.5	1828.9	5796.5	1198.74255	11868.92578	401.70090	0.31298	1.71813	508.91245	11392.06445	68	1	-1	1	-259	-259	2559.73562	6.58186	1828.9	5796.5	1828.9	5796.5
